x	y
882.201	680.611
889.143	679.846
896.085	677.643
900.554	675.941
906.445	673.645
910.434	669.002
913.899	664.024
915.559	659.237
916.837	653.396
917.200	644.876
918.227	637.504
917.684	629.695
917.614	623.178
916.079	616.478
916.497	608.384
917.009	600.918
918.817	595.221
919.575	588.997
921.294	581.145
923.033	571.860
925.306	564.777
927.478	556.019
929.662	547.690
932.373	539.647
933.870	531.033
936.510	522.037
938.425	511.018
938.940	497.422
940.456	489.957
941.585	480.098
942.503	467.935
942.335	457.498
942.324	347.864
